"p","graph","n","sim","method","FDR","FPR","TPR","SHD"
"25","random","500","1","CAM","0.88","0.0753424657534247","0.375","27"
"25","random","500","1","RFCI","1","0.089041095890411","0","21"
"25","random","500","1","LRpS-GES","1","0.0582191780821918","0","25"
"25","random","500","2","CAM","0.863636363636364","0.0650684931506849","0.375","24"
"25","random","500","2","RFCI","1","0.089041095890411","0","21"
"25","random","500","2","LRpS-GES","1","0.0616438356164384","0","26"
"25","random","500","3","CAM","0.884615384615385","0.0787671232876712","0.375","28"
"25","random","500","3","RFCI","1","0.102739726027397","0","23"
"25","random","500","3","LRpS-GES","1","0.0719178082191781","0","28"
"25","random","500","4","CAM","0.888888888888889","0.0821917808219178","0.375","29"
"25","random","500","4","RFCI","1","0.089041095890411","0","21"
"25","random","500","4","LRpS-GES","1","0.0684931506849315","0","26"
"25","random","500","5","CAM","0.92","0.0787671232876712","0.25","29"
"25","random","500","5","RFCI","1","0.102739726027397","0","23"
"25","random","500","5","LRpS-GES","1","0.0684931506849315","0","26"
"25","random","500","6","CAM","0.821428571428571","0.0787671232876712","0.625","26"
"25","random","500","6","RFCI","1","0.0958904109589041","0","22"
"25","random","500","6","LRpS-GES","1","0.0582191780821918","0","25"
"25","random","500","7","CAM","0.818181818181818","0.0616438356164384","0.5","22"
"25","random","500","7","RFCI","1","0.0958904109589041","0","22"
"25","random","500","7","LRpS-GES","1","0.0787671232876712","0","29"
"25","random","500","8","CAM","0.806451612903226","0.0856164383561644","0.75","27"
"25","random","500","8","RFCI","1","0.102739726027397","0","23"
"25","random","500","8","LRpS-GES","1","0.0684931506849315","0","28"
"25","random","500","9","CAM","0.888888888888889","0.0821917808219178","0.375","29"
"25","random","500","9","RFCI","1","0.102739726027397","0","23"
"25","random","500","9","LRpS-GES","1","0.0753424657534247","0","28"
"25","random","500","10","CAM","0.846153846153846","0.0753424657534247","0.5","26"
"25","random","500","10","RFCI","1","0.0958904109589041","0","22"
"25","random","500","10","LRpS-GES","1","0.0753424657534247","0","28"
"25","random","500","11","CAM","0.916666666666667","0.0753424657534247","0.25","28"
"25","random","500","11","RFCI","1","0.0958904109589041","0","22"
"25","random","500","11","LRpS-GES","1","0.0753424657534247","0","28"
"25","random","500","12","CAM","0.962962962962963","0.089041095890411","0.125","33"
"25","random","500","12","RFCI","1","0.102739726027397","0","23"
"25","random","500","12","LRpS-GES","1","0.0719178082191781","0","28"
"25","random","500","13","CAM","0.8","0.0684931506849315","0.625","23"
"25","random","500","13","RFCI","1","0.0958904109589041","0","22"
"25","random","500","13","LRpS-GES","1","0.0684931506849315","0","26"
"25","random","500","14","CAM","0.857142857142857","0.0821917808219178","0.5","28"
"25","random","500","14","RFCI","1","0.10958904109589","0","24"
"25","random","500","14","LRpS-GES","1","0.0753424657534247","0","28"
"25","random","500","15","CAM","0.833333333333333","0.0684931506849315","0.5","24"
"25","random","500","15","RFCI","1","0.0958904109589041","0","22"
"25","random","500","15","LRpS-GES","1","0.0684931506849315","0","27"
"25","random","500","16","CAM","0.892857142857143","0.0856164383561644","0.375","30"
"25","random","500","16","RFCI","1","0.102739726027397","0","23"
"25","random","500","16","LRpS-GES","1","0.0650684931506849","0","26"
"25","random","500","17","CAM","0.851851851851852","0.0787671232876712","0.5","27"
"25","random","500","17","RFCI","1","0.0958904109589041","0","22"
"25","random","500","17","LRpS-GES","1","0.0684931506849315","0","27"
"25","random","500","18","CAM","0.91304347826087","0.0719178082191781","0.25","27"
"25","random","500","18","RFCI","1","0.0958904109589041","0","22"
"25","random","500","18","LRpS-GES","1","0.0684931506849315","0","27"
"25","random","500","19","CAM","0.761904761904762","0.0547945205479452","0.625","19"
"25","random","500","19","RFCI","1","0.0821917808219178","0","20"
"25","random","500","19","LRpS-GES","1","0.0650684931506849","0","25"
"25","random","500","20","CAM","0.875","0.0719178082191781","0.375","26"
"25","random","500","20","RFCI","1","0.102739726027397","0","23"
"25","random","500","20","LRpS-GES","1","0.0650684931506849","0","25"
"25","random","500","21","CAM","0.869565217391304","0.0684931506849315","0.375","25"
"25","random","500","21","RFCI","1","0.102739726027397","0","23"
"25","random","500","21","LRpS-GES","1","0.0753424657534247","0","27"
"25","random","500","22","CAM","0.740740740740741","0.0684931506849315","0.875","21"
"25","random","500","22","RFCI","1","0.0958904109589041","0","22"
"25","random","500","22","LRpS-GES","1","0.0753424657534247","0","28"
"25","random","500","23","CAM","0.916666666666667","0.0753424657534247","0.25","28"
"25","random","500","23","RFCI","1","0.0821917808219178","0","20"
"25","random","500","23","LRpS-GES","1","0.0684931506849315","0","26"
"25","random","500","24","CAM","0.846153846153846","0.0753424657534247","0.5","26"
"25","random","500","24","RFCI","1","0.089041095890411","0","21"
"25","random","500","24","LRpS-GES","1","0.0684931506849315","0","28"
"25","random","500","25","CAM","0.888888888888889","0.0821917808219178","0.375","29"
"25","random","500","25","RFCI","1","0.089041095890411","0","21"
"25","random","500","25","LRpS-GES","1","0.0616438356164384","0","26"
"25","random","500","26","CAM","0.91304347826087","0.0719178082191781","0.25","27"
"25","random","500","26","RFCI","1","0.089041095890411","0","21"
"25","random","500","26","LRpS-GES","1","0.0650684931506849","0","26"
"25","random","500","27","CAM","0.846153846153846","0.0753424657534247","0.5","26"
"25","random","500","27","RFCI","1","0.0958904109589041","0","22"
"25","random","500","27","LRpS-GES","1","0.0616438356164384","0","26"
"25","random","500","28","CAM","0.884615384615385","0.0787671232876712","0.375","28"
"25","random","500","28","RFCI","1","0.0958904109589041","0","22"
"25","random","500","28","LRpS-GES","1","0.0650684931506849","0","25"
"25","random","500","29","CAM","0.956521739130435","0.0753424657534247","0.125","29"
"25","random","500","29","RFCI","1","0.102739726027397","0","23"
"25","random","500","29","LRpS-GES","1","0.0684931506849315","0","28"
"25","random","500","30","CAM","0.857142857142857","0.0616438356164384","0.375","23"
"25","random","500","30","RFCI","1","0.089041095890411","0","21"
"25","random","500","30","LRpS-GES","1","0.0582191780821918","0","24"
"25","random","500","31","CAM","0.91304347826087","0.0719178082191781","0.25","27"
"25","random","500","31","RFCI","1","0.089041095890411","0","21"
"25","random","500","31","LRpS-GES","1","0.0856164383561644","0","32"
"25","random","500","32","CAM","0.923076923076923","0.0821917808219178","0.25","30"
"25","random","500","32","RFCI","1","0.089041095890411","0","21"
"25","random","500","32","LRpS-GES","1","0.0616438356164384","0","26"
"25","random","500","33","CAM","0.851851851851852","0.0787671232876712","0.5","27"
"25","random","500","33","RFCI","1","0.0958904109589041","0","22"
"25","random","500","33","LRpS-GES","1","0.0787671232876712","0","27"
"25","random","500","34","CAM","0.807692307692308","0.0719178082191781","0.625","24"
"25","random","500","34","RFCI","1","0.0958904109589041","0","22"
"25","random","500","34","LRpS-GES","1","0.0684931506849315","0","27"
"25","random","500","35","CAM","0.90625","0.0993150684931507","0.375","34"
"25","random","500","35","RFCI","1","0.102739726027397","0","23"
"25","random","500","35","LRpS-GES","1","0.0616438356164384","0","26"
"25","random","500","36","CAM","0.826086956521739","0.0650684931506849","0.5","23"
"25","random","500","36","RFCI","1","0.102739726027397","0","23"
"25","random","500","36","LRpS-GES","0.952380952380952","0.0684931506849315","0.125","26"
"25","random","500","37","CAM","0.892857142857143","0.0856164383561644","0.375","30"
"25","random","500","37","RFCI","1","0.102739726027397","0","23"
"25","random","500","37","LRpS-GES","1","0.0753424657534247","0","28"
"25","random","500","38","CAM","0.782608695652174","0.0616438356164384","0.625","21"
"25","random","500","38","RFCI","1","0.089041095890411","0","21"
"25","random","500","38","LRpS-GES","1","0.0616438356164384","0","25"
"25","random","500","39","CAM","0.68","0.0582191780821918","1","17"
"25","random","500","39","RFCI","1","0.0958904109589041","0","22"
"25","random","500","39","LRpS-GES","1","0.0616438356164384","0","24"
"25","random","500","40","CAM","0.851851851851852","0.0787671232876712","0.5","27"
"25","random","500","40","RFCI","1","0.0958904109589041","0","22"
"25","random","500","40","LRpS-GES","1","0.0684931506849315","0","27"
"25","random","500","41","CAM","0.84","0.0719178082191781","0.5","25"
"25","random","500","41","RFCI","1","0.089041095890411","0","21"
"25","random","500","41","LRpS-GES","1","0.0719178082191781","0","26"
"25","random","500","42","CAM","0.833333333333333","0.0684931506849315","0.5","24"
"25","random","500","42","RFCI","1","0.089041095890411","0","21"
"25","random","500","42","LRpS-GES","1","0.0787671232876712","0","29"
"25","random","500","43","CAM","0.875","0.0719178082191781","0.375","26"
