fdr,tpr,fpr,shd
0.0,1.0,0.0,0
0.0,1.0,0.0,0
0.0,1.0,0.0,0
0.125,0.875,0.00234192037470726,2
0.0,1.0,0.0,0
0.0,1.0,0.0,0
0.0,1.0,0.0,0
0.0,0.875,0.0,1
0.0,0.875,0.0,1
0.0,1.0,0.0,0
0.125,0.875,0.00234192037470726,2
0.0,1.0,0.0,0
0.0,1.0,0.0,0
0.0,1.0,0.0,0
0.0,0.875,0.0,1
0.125,0.875,0.00234192037470726,2
0.0,1.0,0.0,0
0.0,1.0,0.0,0
0.125,0.875,0.00234192037470726,2
0.125,0.875,0.00234192037470726,2
0.125,0.875,0.00234192037470726,2
0.125,0.875,0.00234192037470726,2
0.125,0.875,0.00234192037470726,2
0.0,1.0,0.0,0
0.0,1.0,0.0,0
0.0,1.0,0.0,0
0.125,0.875,0.00234192037470726,2
0.125,0.875,0.00234192037470726,2
0.0,1.0,0.0,0
0.2222222222222222,0.875,0.00468384074941452,3
0.2222222222222222,0.875,0.00468384074941452,3
0.0,0.875,0.0,1
0.0,1.0,0.0,0
0.0,0.875,0.0,1
0.0,1.0,0.0,0
0.125,0.875,0.00234192037470726,2
0.0,1.0,0.0,0
0.0,0.875,0.0,1
0.0,1.0,0.0,0
0.0,1.0,0.0,0
0.125,0.875,0.00234192037470726,2
0.0,1.0,0.0,0
0.0,1.0,0.0,0
0.0,1.0,0.0,0
0.125,0.875,0.00234192037470726,2
0.0,1.0,0.0,0
0.0,1.0,0.0,0
0.0,1.0,0.0,0
0.0,1.0,0.0,0
0.0,1.0,0.0,0
